epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8939,1.63547,3.99598,1.39554,0.0091,0.51,0.26009,0.16902,0.9082,3.87991,1.00988,0.00018887,0.00018887,0.00018887
2,77.5578,1.07383,2.46578,1.08091,0.73139,0.41611,0.4037,0.2835,0.92643,2.93401,0.93247,0.000381151,0.000381151,0.000381151
3,115.165,1.05145,1.84077,1.00883,0.80955,0.33915,0.40931,0.28151,0.97718,2.94425,0.93532,0.000565512,0.000565512,0.000565512
4,153.385,0.93992,1.58787,0.99329,0.77156,0.48175,0.63835,0.47359,0.94458,2.38963,0.93217,0.000741955,0.000741955,0.000741955
5,190.969,0.92322,1.49159,0.98357,0.53956,0.52877,0.70078,0.54596,0.88906,2.05415,0.94059,0.000910478,0.000910478,0.000910478
6,228.826,0.93182,1.38364,0.97093,0.70713,0.68477,0.84166,0.63117,0.90959,1.73487,0.9218,0.00100101,0.00100101,0.00100101
7,266.715,0.93719,1.30746,0.96084,0.78902,0.78709,0.89602,0.70407,0.85578,1.49829,0.91295,0.000979013,0.000979013,0.000979013
8,304.409,0.9251,1.22233,0.95895,0.91641,0.85375,0.94666,0.75114,0.84867,1.32871,0.90552,0.000957015,0.000957015,0.000957015
9,342.41,0.88103,1.19329,0.96152,0.88695,0.85834,0.92911,0.7305,0.77241,1.4336,0.88842,0.000935018,0.000935018,0.000935018
10,380.488,0.85705,1.08107,0.95116,0.90535,0.9034,0.96634,0.75984,0.81123,1.18105,0.89431,0.00091302,0.00091302,0.00091302
11,418.482,0.82635,1.01043,0.93988,0.887,0.93089,0.95281,0.74919,0.79922,1.10436,0.88579,0.000891022,0.000891022,0.000891022
12,456.698,0.83882,1.03441,0.94126,0.9427,0.93813,0.96145,0.74918,0.82821,1.07468,0.88673,0.000869024,0.000869024,0.000869024
13,498.785,0.88528,0.97418,0.94263,0.95523,0.95204,0.97831,0.77733,0.77816,1.01849,0.89775,0.000847026,0.000847026,0.000847026
14,537.417,0.81307,0.9142,0.9289,0.94364,0.95091,0.98101,0.79007,0.7748,0.98959,0.89501,0.000825029,0.000825029,0.000825029
15,576.737,0.77169,0.90755,0.92045,0.95144,0.93631,0.98449,0.79364,0.78953,1.0328,0.89776,0.000803031,0.000803031,0.000803031
16,614.954,0.7702,0.85842,0.92501,0.94761,0.90584,0.97902,0.80501,0.72962,0.9812,0.88013,0.000781033,0.000781033,0.000781033
17,652.933,0.80224,0.87339,0.92541,0.94466,0.94523,0.9799,0.7937,0.77799,1.06593,0.88422,0.000759035,0.000759035,0.000759035
18,690.596,0.7808,0.84918,0.91338,0.96412,0.93762,0.98019,0.80291,0.73277,0.89659,0.88294,0.000737037,0.000737037,0.000737037
19,728.356,0.75995,0.81048,0.91689,0.94698,0.96096,0.98584,0.82633,0.71829,0.8653,0.87452,0.00071504,0.00071504,0.00071504
20,766.433,0.76259,0.82297,0.91121,0.94203,0.96295,0.98594,0.82616,0.69655,0.86182,0.8703,0.000693042,0.000693042,0.000693042
21,804.01,0.74824,0.81024,0.90523,0.95319,0.93582,0.98339,0.80663,0.73993,0.86289,0.8752,0.000671044,0.000671044,0.000671044
22,841.991,0.76126,0.75821,0.91822,0.93283,0.95077,0.97779,0.80038,0.6985,0.87687,0.86406,0.000649046,0.000649046,0.000649046
23,879.9,0.74815,0.73099,0.90607,0.96425,0.93335,0.97199,0.80121,0.69651,0.83451,0.8615,0.000627048,0.000627048,0.000627048
24,917.839,0.73278,0.7192,0.88841,0.93236,0.9668,0.97822,0.81615,0.6842,0.81125,0.86671,0.000605051,0.000605051,0.000605051
25,955.451,0.72993,0.72472,0.90362,0.95684,0.93812,0.98476,0.8159,0.71082,0.83437,0.87096,0.000583053,0.000583053,0.000583053
26,993.43,0.71444,0.71069,0.90135,0.9627,0.95642,0.98396,0.83007,0.67962,0.85707,0.86391,0.000561055,0.000561055,0.000561055
27,1030.88,0.69855,0.70996,0.90828,0.95934,0.97503,0.98567,0.82412,0.68261,0.7601,0.86361,0.000539057,0.000539057,0.000539057
28,1068.13,0.71188,0.70793,0.90351,0.96285,0.97754,0.98493,0.83686,0.66939,0.75745,0.86073,0.000517059,0.000517059,0.000517059
29,1105.64,0.70315,0.678,0.90434,0.95734,0.93359,0.97625,0.82306,0.68488,0.803,0.86754,0.000495062,0.000495062,0.000495062
30,1143.15,0.69344,0.66216,0.89406,0.95097,0.93101,0.97318,0.8237,0.67729,0.78415,0.8649,0.000473064,0.000473064,0.000473064
31,1181.28,0.70465,0.6446,0.89629,0.95028,0.94713,0.97406,0.82282,0.67231,0.78663,0.86419,0.000451066,0.000451066,0.000451066
32,1219.01,0.6814,0.66452,0.889,0.95985,0.94844,0.97807,0.82379,0.66605,0.76676,0.86086,0.000429068,0.000429068,0.000429068
33,1257.23,0.72007,0.67933,0.90951,0.97362,0.94919,0.98368,0.82397,0.66746,0.73395,0.86037,0.00040707,0.00040707,0.00040707
34,1298.16,0.69249,0.6323,0.88274,0.95701,0.9753,0.98454,0.82794,0.67824,0.7272,0.86292,0.000385073,0.000385073,0.000385073
35,1337.48,0.67919,0.61391,0.88429,0.95972,0.97713,0.98677,0.8291,0.67365,0.68971,0.85939,0.000363075,0.000363075,0.000363075
36,1376.16,0.65865,0.60219,0.88348,0.96999,0.97276,0.98704,0.83759,0.65395,0.673,0.85625,0.000341077,0.000341077,0.000341077
37,1415.67,0.6806,0.623,0.87276,0.96561,0.98095,0.98649,0.83687,0.64291,0.68845,0.85353,0.000319079,0.000319079,0.000319079
38,1454.15,0.67139,0.60508,0.87638,0.97487,0.98302,0.98559,0.83562,0.66362,0.66327,0.85414,0.000297081,0.000297081,0.000297081
39,1494.2,0.67208,0.61847,0.90603,0.97544,0.98264,0.98705,0.82621,0.64889,0.66026,0.85157,0.000275084,0.000275084,0.000275084
40,1535.05,0.67539,0.58679,0.8806,0.97503,0.97993,0.9877,0.83633,0.63621,0.65629,0.85157,0.000253086,0.000253086,0.000253086
41,1573.98,0.62406,0.6014,0.86424,0.97064,0.98332,0.98773,0.83717,0.64082,0.65983,0.85359,0.000231088,0.000231088,0.000231088
42,1612.08,0.63232,0.59651,0.87339,0.97437,0.98164,0.98623,0.83568,0.65276,0.66225,0.8516,0.00020909,0.00020909,0.00020909
43,1651.56,0.6237,0.58286,0.85676,0.97382,0.97947,0.98603,0.83585,0.64417,0.64635,0.85104,0.000187092,0.000187092,0.000187092
44,1690.23,0.6231,0.58071,0.86515,0.96412,0.98162,0.9859,0.83548,0.64257,0.6416,0.85034,0.000165095,0.000165095,0.000165095
45,1729.31,0.60955,0.56621,0.85379,0.96248,0.9823,0.98631,0.8394,0.63432,0.64318,0.84864,0.000143097,0.000143097,0.000143097
46,1768.17,0.60955,0.56385,0.85088,0.96385,0.9777,0.98635,0.83671,0.63247,0.63656,0.84717,0.000121099,0.000121099,0.000121099
47,1806.94,0.60677,0.55323,0.85227,0.96293,0.97704,0.98584,0.83974,0.63406,0.64574,0.84739,9.91012e-05,9.91012e-05,9.91012e-05
48,1845.16,0.61878,0.5697,0.85536,0.96702,0.9781,0.98566,0.83682,0.6325,0.64499,0.84773,7.71034e-05,7.71034e-05,7.71034e-05
49,1882.39,0.60495,0.56015,0.8641,0.96822,0.97867,0.98554,0.83682,0.63161,0.63814,0.84821,5.51056e-05,5.51056e-05,5.51056e-05
50,1920.03,0.60455,0.55578,0.85426,0.96936,0.97859,0.98625,0.83939,0.62975,0.63025,0.84823,3.31078e-05,3.31078e-05,3.31078e-05
